string,anomaly,result
aababbaa,0,0
aaaaaaaa,0,0
aabdbbad,0,0
dabaebab,0,0
bbbdbaad,0,0
abbabbaa,0,0
babdcbad,0,0
abaaabaa,0,0
acaabaaa,0,0
baaaabaa,0,0
aabdbbad,0,0
faadebdg,2,0
fbadbcbe,0,0
cbbdbbad,0,0
dabagaac,0,0
cabaeaab,0,0
babdecad,0,0
aabdbbad,0,0
aabdebad,0,0
aababbaa,0,0
bbbabcaa,0,0
dababbaa,0,0
aaaaebaa,0,0
fbbabbdd,2,0
baaabbaa,0,0
fbbdbbdg,2,0
gabadbdf,1,0
gbaabbdf,1,0
aaaaaaaa,0,0
fcbacdcc,0,0
fdbafccc,0,0
fabdabdg,1,0
dabadbaa,0,0
aababaaa,0,0
baadeaad,0,0
bacbabaa,0,0
cabdaaad,0,0
fabddbdg,2,0
aabdbaad,0,0
babdccbd,0,0
aabdaaad,0,0
faadabdg,2,0
aabaabaa,0,0
faaabbdd,2,0
aabacbaa,0,0
aaaacbaa,0,0
gabdabdg,2,0
cababbaa,0,0
aababaaa,0,0
cabadaaa,0,0
aabacbaa,0,0
fabacbdd,2,0
aacabbaa,0,0
aabaabaa,0,0
aaaacbaa,0,0
aabdaaad,0,0
bcbddcbd,0,0
faadbcdg,2,0
fabacadd,2,0
daaabbba,0,0
abaaaaaa,0,0
baadcbad,0,0
aabacaaa,0,0
aabadbaa,0,0
abaacbaa,0,0
aabdaabd,0,0
dbadebad,0,0
gdaabbdg,1,0
aabdbbad,0,0
ebbdabad,0,0
cbbdbcbd,0,0
gbbbbcdf,1,0
fdbdccbd,0,0
gaaacadf,1,0
aababbaa,0,0
cabdeaad,0,0
aabaacba,0,0
gbbdabdg,1,0
aaaaabaa,0,0
aacdbbad,0,0
aabdbbad,0,0
fdadbbdg,2,0
aaaacbaa,0,0
abbaabaa,0,0
daadabad,0,0
cacdabad,0,0
fcbdccdg,2,0
aabdbaad,0,0
baaadaaa,0,0
abbabcba,0,0
gcbafddg,1,0
fbbabbdd,2,0
fbbacbdd,2,0
fbaabdaa,0,0
eabacbaa,0,0
babdcbbd,0,0
gbaacbdf,1,0
babddbad,0,0
bababbaa,0,0
fababadd,2,0
aaadbbad,0,0
abadbcbd,0,0
fababbdd,2,0
aabdcbad,0,0
daaaddbb,0,0
bdcddbbd,0,0
faaaabdd,2,0
gaadcbdg,1,0
caaacbaa,0,0
babacaaa,0,0
gaadabdg,1,0
