string,result,anomaly
aaaaaaaa,0,0
aaaaaaaa,0,0
aaacaaab,0,0
baaacaaa,0,0
abacaaab,0,0
abaaaaaa,0,0
aaacbaab,0,0
abaaaaaa,0,0
acaaaaaa,0,0
aaaaaaaa,0,0
aaacaaab,0,0
daaccacd,1,2
cbacabbc,0,0
bbacaaab,0,0
baaadaab,0,0
baaacaaa,0,0
aaaccbac,0,0
aaacaaab,0,0
aaaccaac,0,0
aaaaaaaa,0,0
abaaabaa,0,0
baaaaaaa,0,0
aaaacaaa,0,0
dbaaaacc,1,2
aaaaaaaa,0,0
dbacaacd,1,2
daaabacd,1,1
dbaaaacd,1,1
aaaaaaaa,0,0
ccaabccb,0,0
cdaadbcb,1,0
daacaacd,1,1
baaacaaa,0,0
aaaaaaaa,0,0
baaccaac,0,0
aabbaaaa,0,0
baacaaab,0,0
daaccacd,1,2
aaacaaab,0,0
aaacbbbb,0,0
aaacaaab,0,0
daacaacd,1,2
aaaaaaaa,0,0
daaaaacc,1,2
aaaabaaa,0,0
aaaabaaa,0,0
daacaacd,1,2
baaaaaaa,0,0
aaaaaaaa,0,0
baaabaaa,0,0
aaaabaaa,0,0
daaabacc,1,2
aabaaaaa,0,0
aaaaaaaa,0,0
aaaabaaa,0,0
aaacaaab,0,0
acacbbbc,0,0
daacabcd,1,2
daaabacb,1,2
baaaaaba,0,0
abaaaaaa,0,0
aaacbaab,0,0
aaaabaaa,0,0
aaaabaaa,0,0
abaabaaa,0,0
aaacaabb,0,0
bbaccaac,0,0
ddaaaacd,1,1
aaacaaab,0,0
cbacaaac,0,0
bbacabbb,0,0
dbababcd,1,1
ddacbbbc,1,0
daaabacd,1,1
aaaaaaaa,0,0
baaccaac,0,0
aaaaabba,0,0
dbacaacd,1,1
aaaaaaaa,0,0
aabcaaab,0,0
aaacaaab,0,0
ddacaacd,1,2
aaaabaaa,0,0
abaaaaaa,0,0
caacaaab,0,0
babcaaab,0,0
dcacbbcd,0,2
aaacaaab,0,0
baaacaaa,0,0
abaaabba,0,0
dcaacccd,1,1
dbaaaacb,1,2
dbaabacc,1,2
dbaaacaa,0,0
caaabaaa,0,0
aaacbabb,0,0
dbaabacd,1,1
aaacbaab,0,0
aaaaaaaa,0,0
daaaaacb,1,2
aaacaaab,0,0
abacabbb,0,0
daaaaacb,1,2
aaacbaab,0,0
baaaccba,0,0
bdbccabc,1,0
daaaaacb,1,2
daacbacd,1,1
baaabaaa,0,0
baaabaaa,0,0
daacaacd,1,1
aaaababa,0,0
aaaaaaaa,0,0
baacaabb,0,0
bbbabbba,0,0
aaaaabaa,0,0
ddbbdcbb,1,0
aaacaaab,0,0
abacaaab,0,0
aaaaaaaa,0,0
daacaaab,0,0
aaaaaaaa,0,0
dcaaabcd,1,1
aaacbabb,0,0
daacaacd,1,1
aaacaaab,0,0
aaaaaaaa,0,0
bbacbaac,0,0
aaaaaaaa,0,0
caaabaaa,0,0
daacaacd,1,2
aaacaaab,0,0
baacbaac,0,0
aaaabaaa,0,0
caacbaab,0,0
daacaacd,1,1
aaaaaaaa,0,0
aaaaaaaa,0,0
abaabbaa,0,0
aaacabab,0,0
babacaab,0,0
aaabaaaa,0,0
dbacaacd,1,1
daaaaacd,1,1
aaacaaab,0,0
adacaaab,1,0
cabbbaaa,0,0
aaaabaaa,0,0
aaaaaaba,0,0
aaacbaab,0,0
acaaaaaa,0,0
aaaaaaaa,0,0
baaccaac,0,0
abaaaaaa,0,0
baaacaba,0,0
daaabacc,1,2
abacbaac,0,0
bbacbabc,0,0
dbbbcacd,1,1
aaacbaab,0,0
aaaaaaaa,0,0
aaaabaaa,0,0
aaaabaaa,0,0
babbccbb,0,0
aaacaaab,0,0
abacaaab,0,0
bcaabaaa,0,0
cbaabaaa,0,0
ccaaabaa,0,0
daacaacd,1,2
dbaaaacd,1,1
abacbbbc,0,0
aaacabab,0,0
aaaabaaa,0,0
aaaaaaaa,0,0
ddacdbbc,1,0
aaaabaaa,0,0
bcacaaab,0,0
aaaabaaa,0,0
aaabbaaa,0,0
bbaabaaa,0,0
aaacbaab,0,0
aaaccaac,0,0
abacaaab,0,0
abacaaab,0,0
bbaabbaa,0,0
dabcbbcd,1,2
daaaaacb,1,2
daaabacd,1,1
daaaaacb,1,2
aaacaabb,0,0
daacaacd,1,2
baacbbbc,0,0
daacaacd,1,1
aaaaaaaa,0,0
abaaaaaa,0,0
aaacaaab,0,0
aaaaaaaa,0,0
dabcbacd,1,2
abacabab,0,0
abaaaaaa,0,0
aaacaaab,0,0
abaaaaaa,0,0
ccabcaab,0,0
daaaaacc,1,2
aaaabaaa,0,0
aaaabaaa,0,0
daaabacd,1,1
daacaacd,1,1
daaabacd,1,1
dbacaacd,1,1
aaaaaaaa,0,0
aaacaaab,0,0
aaaaaaaa,0,0
aaacaaab,0,0
aaaabaaa,0,0
aaaaaaaa,0,0
aabcbbac,0,0
daaabacd,1,1
baaabaaa,0,0
aaacbaab,0,0
daaaaacc,1,2
babcbaab,0,0
aaaaaaaa,0,0
daacbaab,0,0
aabcbaab,0,0
bbaaabaa,0,0
daaaaacd,1,1
abacaaab,0,0
aaaaaaaa,0,0
baabaaaa,0,0
abaaaaaa,0,0
dbacbacd,1,2
daacaacd,1,2
aaabcaaa,0,0
daaabacc,1,2
dcbbcaab,0,0
aaacbaab,0,0
aaaabaaa,0,0
abacabab,0,0
aaaaabaa,0,0
abacaaab,0,0
dbacaacd,1,2
aaaabaaa,0,0
daacaacd,1,1
dbacabcd,1,2
aaacbaab,0,0
daaaaacb,1,2
caacbaac,0,0
abaccaac,0,0
aaacbbab,0,0
aaacbaab,0,0
aabcbaac,0,0
bbacaaab,0,0
aaacaaab,0,0
aaacbaac,0,0
aaacaaab,0,0
aaaabaaa,0,0
bbacaabb,0,0
baaaaaaa,0,0
dbacaacd,1,1
aaacaaab,0,0
aaaaaaaa,0,0
ccaababa,0,0
aaaabaaa,0,0
aaacbaab,0,0
aaacbaab,0,0
aaacbaab,0,0
aaaaaaaa,0,0
aaaaabaa,0,0
ccbccbbc,0,0
aaaaaaaa,0,0
daaaaacb,1,2
aaacbaab,0,0
acacaabb,0,0
aaacaaab,0,0
aaaaaaaa,0,0
aaacbaab,0,0
cbaccaac,0,0
cbabcaaa,0,0
aaaaaaaa,0,0
aaaabaaa,0,0
daaabacd,1,1
aaacaaab,0,0
baaabaaa,0,0
aaacaaab,0,0
aaacaaab,0,0
daaaaacb,1,2
daacaacd,1,1
aaaabaaa,0,0
aaacaaab,0,0
aaaaaaaa,0,0
acaababa,0,0
aaacaabb,0,0
aaacbaab,0,0
baacbaac,0,0
aaacaaab,0,0
aabaaaba,0,0
aaacaaab,0,0
daaaaacd,1,1
daaaaacc,1,2
aaacbaab,0,0
ababbaaa,0,0
aaacaaab,0,0
aaacaaab,0,0
aaaaaaca,0,0
babcaacb,0,0
abaacaaa,0,0
