string,count
caeaaaabdaadaad,1
daaaaaaadaadaaa,4
daaaaaaadabdaaa,1
daaaaaaadaedaca,3
daaaaaaadaedbca,4
daaaaaaadbedaca,1
daaaaaaaeaaaaca,26
daaaaaaaeaaaacb,1
daaaaaaaeaaaacd,9
daaaaaaaeaaabaa,1
daaaaaaaeaaabad,2
daaaaaaaeaaabca,14
daaaaaaaeaaabcb,2
daaaaaaaeaaabcd,8
daaaaaaaeaaadca,1
daaaaaaaeaaadcd,1
daaaaaaaeaacaca,1
daaaaaaaeaacdcd,1
daaaaaaaeaadaaa,10
daaaaaaaeaadaad,6
daaaaaaaeaadaba,1
daaaaaaaeaadaca,1
daaaaaaaeaadbaa,3
daaaaaaaeaadbab,2
daaaaaaaeaadbad,2
daaaaaaaeaadbcb,1
daaaaaaaeabaaad,1
daaaaaaaeabdaaa,1
daaaaaaaeacaaca,1
daaaaaaaeadabca,1
daaaaaaaeaddaaa,1
daaaaaaaeaddaab,1
daaaaaaaeaddbaa,1
daaaaaaaeaeaaca,1
daaaaaaaeaedaaa,1
daaaaaaaebaaaca,2
daaaaaaaebaaacd,2
daaaaaaaebaabcd,1
daaaaaabaaeaaaa,1
daaaaaabaaeabba,1
daaaaaabdaadaaa,3
daaaaaabdaadaba,1
daaaaaabdaadbaa,2
daaaaaabdaedaca,3
daaaaaabdaedbca,7
daaaaaabdaedbcc,1
daaaaaabdaeddca,1
daaaaaabeaaaaaa,1
daaaaaabeaaaaad,1
daaaaaabeaaaaca,8
daaaaaabeaaaacd,1
daaaaaabeaaabca,4
daaaaaabeaaabcd,5
daaaaaabeaadaaa,2
daaaaaabeaadaab,1
daaaaaabeaadaad,1
daaaaaabeaadbaa,2
daaaaaabeaadbab,1
daaaaaabeaadbba,1
daaaaaabeaadbbb,1
daaaaaabeabdaad,1
daaaaaabeabdbca,1
daaaaaabeaddbaa,1
daaaaaabeaddbab,1
daaaaaabeaeabad,1
daaaaaacdaedbca,1
daaaaaaceaaaaca,2
daaaaaaceaadaaa,1
