string,count
daaaabcc,4
daaaaccc,1
daaaadac,64
daaaadbc,13
daaaadcc,116
daaabdac,43
daaabdbc,11
daaabdcc,12
daaacdac,28
daaacdbc,12
daaacdcc,5
daaadbcc,1
daaaddac,9
daaaddbc,3
daaaeaac,1
daaaeacc,5
daaaebac,1
daaaebcc,9
daaaedac,3
daaaedcc,4
daabadac,4
daabadcc,4
daabadce,117
daabbdce,15
daabcbcc,1
daabcdac,6
daabcdce,7
daabddac,5
daabedac,2
daacadae,4
daacadbe,5
daacbdae,14
daacbdbe,13
daacbdce,1
daaccdae,11
daaccdbe,12
daacddae,1
daaceace,4
daacebce,3
daacedce,2
daadabce,2
daadadae,93
daadadbe,6
daadadce,1
daadbcce,1
daadbdae,32
daadbdbe,2
daadcace,2
daadcbce,2
daadcdae,31
daaddace,1
daaddbce,1
daadddae,14
daadddbe,1
daadeaae,2
daadedae,5
dabaaacc,3
dabaabcc,4
dabaaccc,1
dabaadac,78
dabaadbc,15
dabaadcc,69
dababbcc,1
dababdac,38
dababdbc,15
dababdcc,19
dabacacc,1
dabacbcc,9
dabacdac,74
dabacdbc,17
dabacdcc,5
dabadacc,3
dabadbcc,2
dabaddac,50
dabaddbc,10
dabaeacc,3
dabaebac,2
dabaebcc,7
dabaeccc,2
dabaedac,13
dabaedbc,1
dabaedcc,13
dabbadac,7
dabbadcc,2
dabbadce,65
dabbbbcc,1
dabbbdac,5
dabbbdbc,3
dabbbdcc,1
dabbbdce,12
dabbcbcc,1
dabbcdac,22
dabbcdbc,2
dabbcdcc,1
dabbcdce,7
dabbdbcc,1
dabbddac,18
dabbddbc,2
dabbebcc,1
dabbedac,2
dabcadae,6
dabcadbe,8
dabcadce,3
dabcbdae,21
dabcbdbe,7
dabcbdce,1
dabccdae,24
dabccdbe,17
dabccdce,2
dabcddae,2
dabcddbe,4
dabceace,3
dabcebce,5
dabcedce,14
dabdabce,1
dabdadae,79
dabdadbe,4
dabdbace,1
dabdbbce,5
dabdbdae,41
dabdbdbe,2
dabdcace,2
dabdcbce,5
dabdcdae,75
dabdcdbe,5
dabddbce,2
dabdddae,76
dabdddbe,14
dabdeaae,1
dabdedae,18
dabdedbe,1
dacaadac,3
dacaadbc,1
dacaadcc,2
dacabdac,4
dacacdac,8
dacacdbc,2
dacacdcc,1
dacaddac,13
dacaddbc,2
dacaedac,1
dacaedcc,1
dacbadcc,1
dacbadce,1
dacbcbcc,1
dacbcdac,6
dacbcdbc,2
dacbdbcc,1
dacbddac,14
